2023-09-06 22:02:14,978-0-09-236331-3,丛涛,13462778586,652325196705264131,朱湘,工人,90
2023-09-04 16:13:25,978-1-955076-46-3,尉雪梅,15085794816,52230119881105134X,钱钟书,医生,20
2023-09-10 15:44:33,978-0-04-392214-9,丛建军,15632368219,469000195506064383,天蚕土豆,军人,23
2023-09-01 15:11:16,978-0-7820-7481-9,王想,15184078747,441283196109141512,王朔,工人,45
2023-09-04 20:50:27,978-0-472-62086-9,许波,13205135847,350527198502046388,冰心,记者,53
2023-09-09 20:09:12,978-1-86730-707-5,高伟,15913533365,511802195502133322,贾平凹,画家,9
2023-09-10 03:07:31,978-1-916390-62-1,樊波,14508425085,370826195403119756,沈从文,记者,80
2023-09-08 12:56:55,978-1-4308-2778-8,贾飞,13964211509,370901195810277952,冰心,医生,36
2023-09-08 10:21:34,978-0-214-45959-7,吕利,15751432632,150205195502195433,贾平凹,工人,33
2023-09-06 02:00:15,978-1-64436-041-5,陈建军,13012743424,320902196803219879,冰心,科学家,93
2023-09-05 14:45:50,978-0-264-29462-9,刘丽,14713826258,441424194912234648,郑振泽,设计师,14
2023-09-08 16:21:47,978-1-9831-8076-7,凌敏,18691068357,520601195104172389,冰心,律师,74
2023-09-01 17:35:52,978-1-81007-103-9,宫洋,13293730941,210224194407288210,张洁,律师,38
2023-09-02 10:26:08,978-1-64601-002-8,王玉华,14709027554,350128199108122900,冰心,医生,26
2023-09-06 05:21:25,978-1-4795-1846-3,陈勇,13104608732,370724195806252545,朱自清,中小学生,15
2023-09-09 12:52:48,978-0-7525-9293-0,冯桂花,18562912183,511622197109120473,唐家三少,军人,88
2023-09-05 07:06:11,978-1-399-68468-2,秦玲,13793644918,51170019560725187X,天蚕土豆,医生,78
2023-09-06 09:31:04,978-1-65017-887-5,钟文,13760884820,533324193706265615,冰心,记者,63
2023-09-02 21:32:28,978-0-7354-3611-4,刘桂珍,13750497424,542129200205035875,冰心,律师,30
2023-09-07 06:02:43,978-1-83093-095-8,黄宇,18824843051,653124197708114735,马克吐温,歌手,71
2023-09-08 21:46:34,978-1-374-26447-2,鄢淑珍,13435724238,61010219900916454X,查尔斯.狄更斯,律师,79
2023-09-03 19:37:31,978-1-4822-5261-3,徐霞,18755943270,451381199407214140,鲁迅,军人,81
2023-09-06 02:50:02,978-1-363-27101-6,孙鹏,15580160239,450804194207056425,冰心,设计师,41
2023-09-05 18:36:09,978-1-303-74696-3,王玉英,18284252431,640201197409245563,林语堂,军人,78
2023-09-01 17:29:55,978-1-58068-907-6,王桂荣,15921366479,370602195107052583,王朔,大学生,79
2023-09-10 09:35:37,978-0-03-643862-6,郭英,15981964368,610801196803136739,马克吐温,中小学生,10
2023-09-05 23:04:40,978-1-9770-7269-6,杨玲,13471236257,230108194505300170,朱自清,大学生,94
2023-09-04 16:57:54,978-0-86266-078-9,夏玉,15349176837,350128195802222495,茅盾,歌手,74
2023-09-10 19:52:52,978-0-7918-1216-7,郝飞,13643998040,51162219880130576X,鲁迅,歌手,69
2023-09-05 07:37:43,978-0-02-919938-1,贾淑珍,15052383236,520500196905190336,莫言,歌手,93
2023-09-01 13:11:43,978-0-652-44224-3,孟玉,13626482512,21050320010723191X,巴金,记者,50
2023-09-07 07:26:00,978-1-900464-50-5,王秀兰,13687008712,140931193612306851,鲁迅,歌手,28
2023-09-05 05:47:07,978-0-9764915-0-7,李秀珍,18091078899,511423195707047890,林语堂,歌手,74
2023-09-10 20:44:27,978-0-606-22925-8,胡建华,13726134356,411300193708064411,鲁迅,工程师,5
2023-09-08 16:31:01,978-0-16-909835-3,徐军,18249675963,410727193811047696,茅盾,科学家,59
2023-09-05 15:51:31,978-0-597-33070-4,周丹,13876730163,542221196310175664,郑振泽,军人,62
2023-09-02 00:56:20,978-1-75816-634-7,刘浩,15611973563,230501195601140009,唐家三少,运动员,43
2023-09-07 22:30:23,978-0-01-608925-1,江健,15033271164,610204195705257600,巴金,工人,44
2023-09-11 16:03:06,978-1-5230-3118-4,安成,13397350281,511402196612130897,叶圣陶,运动员,23
2023-09-07 01:27:31,978-0-13-894831-3,薛丽,18998371591,542427194611238737,马克吐温,军人,18
2023-09-08 13:08:16,978-1-73048-094-2,夏桂英,13881377154,411627197108146231,叶圣陶,科学家,83
2023-09-10 18:25:44,978-1-57685-249-1,桑倩,13383144853,431300196310271442,刘震云,医生,90
2023-09-08 07:52:33,978-1-78720-197-2,颜娜,13947252038,152522198308142934,林语堂,歌手,61
